it may be an easy swipe to take , but this barbershop just doesn't make the cut . 	neg
a stylistic romp that's always fun to watch . 	pos
this english-language version . . . does full honor to miyazaki's teeming and often unsettling landscape , and to the conflicted complexity of his characters . 	pos
mr . soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious . 	neg
the production design , score and choreography are simply intoxicating . 	pos
there's a reason the studio didn't offer an advance screening . " the adventures of pluto nash " is a big time stinker . 	neg
the movie , directed by mick jackson , leaves no cliche unturned , from the predictable plot to the characters straight out of central casting . 	neg
overall very good for what it's trying to do . 	pos
 . . . a cinematic disaster so inadvertently sidesplitting it's worth the price of admission for the ridicule factor alone . 	neg
it becomes gimmicky instead of compelling . " interview " loses its overall sense of mystery and becomes a tv episode rather than a documentary that you actually buy into . 	neg
the film is really not so much bad as bland . 	neg
the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances . 	pos
a fascinating literary mystery story with multiple strands about the controversy of who really wrote shakespeare's plays . 	pos
the movie's quiet affirmation of neighborhood values gives it an honest , lived-in glow . 	pos
as blunt as it is in depicting child abuse , el bola is a movie steeped in an ambiguity that lends its conflicts a symbolic resonance . 	pos
its maker , steven spielberg , hasn't had so much fun in two decades , since he was schlepping indiana jones around the globe in search of a giant misplaced ashtray . 	pos
as simple and innocent a movie as you can imagine . this is a movie you can trust . 	pos
what was subtle and mystifying in the novella is now broad and farcical . 	neg
an undeniably gorgeous , terminally smitten document of a troubadour , his acolytes , and the triumph of his band . 	pos
comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . . . . designed to provide a mix of smiles and tears , " crossroads " instead provokes a handful of unintentional howlers and numerous yawns . 	neg
frida's artistic brilliance is undeniable -- it's among the most breathtakingly designed films i've ever seen . 	pos
binoche and magimel are perfect in these roles . 	pos
merchant effectively translates naipaul's lively mix of characters from the page to screen . 	pos
from spiritual rebirth to bruising defeat , vincent's odyssey resonates in a profound way , comparable to the classic films of jean renoir . 	pos
what it lacks in originality it makes up for in intelligence and b-grade stylishness . 	pos
not only a reminder of how they used to make movies , but also how they sometimes still can be made . 	pos
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless . 	neg
the film's greatest asset is how much it's not just another connect-the-dots , spy-on-the-run picture . 	pos
 . . . the same tired old gags , modernized for the extreme sports generation . there's already been too many of these films . . . 	neg
isn't as sharp as the original . . . despite some visual virtues , 'blade ii' just doesn't cut it . 	neg
like a can of 2-day old coke . you can taste it , but there's no fizz . 	neg
this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer's star trek vi : the undiscovered country . 	pos
the santa clause 2's plot may sound like it was co-written by mattel executives and lobbyists for the tinsel industry . 	neg
the makers have forsaken the entertaining elements of the original and , instead , rehash old jokes and leave any life at the doorstep . i like frank the pug , though . 	neg
beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart . it really is a shame that more won't get an opportunity to embrace small , sweet 'evelyn . '	pos
a movie that's just plain awful but still manages to entertain on a guilty-pleasure , so-bad-it's-funny level . 	pos
watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost . 	neg
[sam's] self-flagellation is more depressing than entertaining . 	neg
douglas mcgrath's nicholas nickleby does dickens as it should be done cinematically . 	pos
may seriously impair your ability to ever again maintain a straight face while speaking to a highway patrolman . 	pos
a battle between bug-eye theatre and dead-eye matinee . 	neg
a picture that extols the virtues of comradeship and community in a spunky , spirited fashion . 	pos
